county_city,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
".Surry County, Virginia","7,058","7,045","6,923","6,844","6,792","6,783","6,674","6,560","6,508","6,435","6,407","6,561","6,530"
".Sussex County, Virginia","12,087","12,013","12,088","11,927","11,765","11,724","11,692","11,425","11,369","11,194","11,092","10,829","10,763"
".Tazewell County, Virginia","45,078","45,118","44,733","44,276","44,031","43,399","42,930","42,226","41,362","41,152","40,734","40,429","39,925"
".Virginia Beach City, Virginia","437,994","438,864","442,654","445,189","447,922","449,139","450,635","451,510","450,417","450,488","450,766","459,470","457,672"
".Warren County, Virginia","37,575","37,520","37,654","37,898","38,514","40,147","38,742","39,197","39,478","40,056","40,235","40,727","40,925"
".Washington County, Virginia","54,876","54,966","54,839","55,110","54,800","54,630","54,309","54,178","54,202","54,100","53,852","53,935","53,635"
".Waynesboro City, Virginia","21,006","20,989","21,099","21,065","21,164","21,303","21,543","21,759","22,196","22,390","22,416","22,196","22,550"
".Westmoreland County, Virginia","17,454","17,493","17,639","17,515","17,553","17,440","17,553","17,645","17,723","17,818","18,029","18,477","18,731"
".Williamsburg City, Virginia","14,068","13,706","14,095","14,519","14,615","14,586","14,815","14,894","14,990","15,009","15,019","15,425","15,590"
".Winchester City, Virginia","26,203","26,150","26,663","27,012","27,328","27,398","27,500","27,789","28,148","27,889","28,036","28,120","28,136"
".Wise County, Virginia","41,452","41,574","41,461","40,928","40,685","39,916","39,596","39,059","38,593","37,877","37,427","36,130","35,647"
".Wythe County, Virginia","29,235","29,252","29,204","29,331","29,285","29,060","29,106","28,898","28,832","28,659","28,618","28,290","28,178"
".York County, Virginia","65,464","65,224","65,796","65,872","66,046","66,607","67,900","67,914","68,117","68,136","68,579","70,045","70,915"
